layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.0.attention.self.query.weight,attention,0,768,768,768,512.7618,0.6677,30.8782,0.0402,144.5911,0.1883,6.347867,1.142356,264,0.3438,350,0.4557,508,0.6615,0.953411,0.922162,0.870598,0.792537,0.68078
bert.encoder.layer.0.attention.self.key.weight,attention,0,768,768,768,513.3091,0.6684,17.3126,0.0225,109.2107,0.1422,6.347926,1.525636,266,0.3464,352,0.4583,509,0.6628,0.936648,0.903243,0.853242,0.778578,0.673144
bert.encoder.layer.0.attention.self.value.weight,attention,0,768,768,768,476.9828,0.6211,22.6943,0.0295,87.5985,0.1141,5.709497,1.198504,224,0.2917,310,0.4036,477,0.6211,0.920528,0.875023,0.815215,0.731798,0.616572
bert.encoder.layer.0.attention.output.dense.weight,attention,0,768,768,768,483.8554,0.63,28.6944,0.0374,99.8096,0.13,5.564096,1.038714,230,0.2995,320,0.4167,488,0.6354,0.935765,0.890181,0.82447,0.732365,0.611922
bert.encoder.layer.0.intermediate.dense.weight,ffn,0,3072,768,768,677.7224,0.8825,19.0121,0.0248,180.9699,0.2356,12.195239,2.796889,469,0.6107,574,0.7474,707,0.9206,0.955128,0.936791,0.908574,0.864012,0.795294
bert.encoder.layer.0.output.dense.weight,ffn,0,768,3072,768,632.1799,0.8232,25.8711,0.0337,116.7939,0.1521,11.370876,2.235559,405,0.5273,530,0.6901,696,0.9062,0.935673,0.894995,0.836954,0.763904,0.681684
bert.encoder.layer.1.attention.self.query.weight,attention,1,768,768,768,499.6292,0.6506,34.8067,0.0453,131.9861,0.1719,6.190563,1.049298,249,0.3242,335,0.4362,497,0.6471,0.9505,0.914698,0.859198,0.77615,0.659395
bert.encoder.layer.1.attention.self.key.weight,attention,1,768,768,768,501.0292,0.6524,36.0724,0.047,136.6443,0.1779,6.14604,1.023312,251,0.3268,337,0.4388,498,0.6484,0.9533,0.917796,0.863201,0.780755,0.662668
bert.encoder.layer.1.attention.self.value.weight,attention,1,768,768,768,493.0355,0.642,38.6522,0.0503,135.3631,0.1763,5.506563,0.885714,242,0.3151,327,0.4258,490,0.638,0.95388,0.919279,0.863532,0.77843,0.656574
bert.encoder.layer.1.attention.output.dense.weight,attention,1,768,768,768,489.1802,0.637,31.6146,0.0412,110.2965,0.1436,5.594713,0.995026,236,0.3073,325,0.4232,493,0.6419,0.944128,0.901026,0.834698,0.744022,0.624148
