layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.0.attention.self.query.weight,attention,0,768,768,768,455.4252,0.593,22.4607,0.0292,95.0981,0.1238,2.511144,0.529859,203,0.2643,284,0.3698,453,0.5898,0.93533,0.891188,0.823347,0.727126,0.598545
bert.encoder.layer.0.attention.self.key.weight,attention,0,768,768,768,466.1651,0.607,23.5486,0.0307,93.3707,0.1216,2.477432,0.510528,214,0.2786,297,0.3867,465,0.6055,0.93083,0.88457,0.819728,0.728718,0.606942
bert.encoder.layer.0.attention.self.value.weight,attention,0,768,768,768,468.383,0.6099,25.1174,0.0327,104.1301,0.1356,2.369151,0.472722,215,0.2799,298,0.388,467,0.6081,0.940116,0.897499,0.832952,0.741063,0.615803
bert.encoder.layer.0.attention.output.dense.weight,attention,0,768,768,768,491.0697,0.6394,38.1326,0.0497,130.6801,0.1702,2.410475,0.39035,239,0.3112,324,0.4219,489,0.6367,0.952753,0.914659,0.858187,0.772546,0.651669
bert.encoder.layer.0.intermediate.dense.weight,ffn,0,3072,768,768,646.5984,0.8419,14.1632,0.0184,123.5854,0.1609,4.99578,1.327463,409,0.5326,523,0.681,686,0.8932,0.945575,0.926264,0.894117,0.842144,0.761695
bert.encoder.layer.0.output.dense.weight,ffn,0,768,3072,768,651.2498,0.848,22.4534,0.0292,175.4914,0.2285,4.75588,1.003667,421,0.5482,536,0.6979,696,0.9062,0.953873,0.93047,0.893341,0.837969,0.75632
bert.encoder.layer.1.attention.self.query.weight,attention,1,768,768,768,456.3041,0.5941,27.6591,0.036,97.5645,0.127,2.493584,0.474138,205,0.2669,286,0.3724,454,0.5911,0.936908,0.892908,0.821609,0.725306,0.598671
bert.encoder.layer.1.attention.self.key.weight,attention,1,768,768,768,469.2685,0.611,22.405,0.0292,91.3076,0.1189,2.475711,0.523031,217,0.2826,301,0.3919,468,0.6094,0.92686,0.881478,0.819089,0.729402,0.608584
bert.encoder.layer.1.attention.self.value.weight,attention,1,768,768,768,478.7588,0.6234,22.0253,0.0287,106.2489,0.1383,2.319693,0.494276,226,0.2943,311,0.4049,477,0.6211,0.938098,0.900337,0.839966,0.752889,0.630292
bert.encoder.layer.1.attention.output.dense.weight,attention,1,768,768,768,495.1646,0.6447,38.9646,0.0507,139.9108,0.1822,2.355234,0.37731,244,0.3177,329,0.4284,492,0.6406,0.955968,0.922286,0.866733,0.782887,0.661925
