layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.0.attention.self.query.weight,attention,0,768,768,768,427.265,0.5563,15.332,0.02,66.3182,0.0864,2.593181,0.662267,172,0.224,252,0.3281,427,0.556,0.910718,0.856556,0.780697,0.675982,0.54241
bert.encoder.layer.0.attention.self.key.weight,attention,0,768,768,768,465.2016,0.6057,12.8087,0.0167,61.4738,0.08,2.571881,0.718619,212,0.276,296,0.3854,465,0.6055,0.896788,0.853897,0.790218,0.703457,0.59021
bert.encoder.layer.0.attention.self.value.weight,attention,0,768,768,768,465.99,0.6068,19.8512,0.0258,85.2859,0.111,2.377666,0.533651,212,0.276,296,0.3854,466,0.6068,0.924132,0.874955,0.809053,0.719404,0.59981
bert.encoder.layer.0.attention.output.dense.weight,attention,0,768,768,768,458.1049,0.5965,19.5858,0.0255,71.9161,0.0936,2.404848,0.543396,202,0.263,288,0.375,462,0.6016,0.91062,0.857924,0.786513,0.693813,0.574682
bert.encoder.layer.0.intermediate.dense.weight,ffn,0,3072,768,768,623.2834,0.8116,12.4149,0.0162,94.9862,0.1237,4.942591,1.402759,371,0.4831,493,0.6419,674,0.8776,0.931533,0.907466,0.868111,0.808239,0.718427
bert.encoder.layer.0.output.dense.weight,ffn,0,768,3072,768,612.2557,0.7972,16.7119,0.0218,80.0945,0.1043,4.625868,1.131566,362,0.4714,490,0.638,677,0.8815,0.90593,0.864943,0.810221,0.745052,0.664239
bert.encoder.layer.1.attention.self.query.weight,attention,1,768,768,768,423.5767,0.5515,16.1131,0.021,60.3778,0.0786,2.462811,0.613538,169,0.2201,249,0.3242,424,0.5521,0.901886,0.845096,0.766552,0.661984,0.531806
bert.encoder.layer.1.attention.self.key.weight,attention,1,768,768,768,463.2368,0.6032,18.5352,0.0241,71.3644,0.0929,2.456191,0.57051,210,0.2734,295,0.3841,464,0.6042,0.90625,0.859337,0.793789,0.706007,0.589334
bert.encoder.layer.1.attention.self.value.weight,attention,1,768,768,768,469.6723,0.6116,17.2237,0.0224,83.3734,0.1086,2.298109,0.553742,215,0.2799,300,0.3906,469,0.6107,0.919686,0.875641,0.815325,0.72882,0.607538
bert.encoder.layer.1.attention.output.dense.weight,attention,1,768,768,768,459.0215,0.5977,25.8935,0.0337,87.3647,0.1138,2.311173,0.45419,204,0.2656,289,0.3763,462,0.6016,0.930835,0.879136,0.806418,0.708637,0.583817
