layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
distilbert.transformer.layer.0.attention.q_lin.weight,attention,0,768,768,768,501.7833,0.6534,33.6105,0.0438,132.3416,0.1723,5.255054,0.906442,251,0.3268,337,0.4388,498,0.6484,0.947744,0.913536,0.860226,0.781141,0.667264
distilbert.transformer.layer.0.attention.k_lin.weight,attention,0,768,768,768,509.4789,0.6634,19.207,0.025,118.3184,0.1541,5.274716,1.203566,260,0.3385,346,0.4505,506,0.6589,0.94145,0.910286,0.861476,0.784312,0.673798
distilbert.transformer.layer.0.attention.v_lin.weight,attention,0,768,768,768,456.6212,0.5946,18.8037,0.0245,72.207,0.094,4.891469,1.128023,203,0.2643,286,0.3724,455,0.5924,0.906815,0.856222,0.794919,0.706686,0.587462
distilbert.transformer.layer.0.attention.out_lin.weight,attention,0,768,768,768,461.2394,0.6006,23.3756,0.0304,79.5885,0.1036,4.656707,0.963159,206,0.2682,292,0.3802,463,0.6029,0.91907,0.865267,0.79857,0.706405,0.58533
distilbert.transformer.layer.0.ffn.lin1.weight,ffn,0,3072,768,768,653.9456,0.8515,18.8786,0.0246,158.9583,0.207,10.152859,2.336702,427,0.556,539,0.7018,691,0.8997,0.950352,0.926776,0.892151,0.83926,0.762348
distilbert.transformer.layer.0.ffn.lin2.weight,ffn,0,768,3072,768,615.9066,0.802,22.131,0.0288,97.6348,0.1271,9.317474,1.980605,372,0.4844,501,0.6523,683,0.8893,0.92154,0.879602,0.826319,0.753302,0.666065
distilbert.transformer.layer.1.attention.q_lin.weight,attention,1,768,768,768,470.6365,0.6128,27.222,0.0354,106.241,0.1383,5.163554,0.989667,219,0.2852,302,0.3932,469,0.6107,0.941445,0.898207,0.834517,0.7425,0.616391
distilbert.transformer.layer.1.attention.k_lin.weight,attention,1,768,768,768,479.8083,0.6248,28.8774,0.0376,110.0251,0.1433,5.16934,0.961957,229,0.2982,313,0.4076,477,0.6211,0.940876,0.899649,0.837116,0.749689,0.630107
distilbert.transformer.layer.1.attention.v_lin.weight,attention,1,768,768,768,463.3166,0.6033,25.0886,0.0327,101.637,0.1323,4.607754,0.919921,211,0.2747,293,0.3815,460,0.599,0.938114,0.894986,0.831714,0.737432,0.610291
distilbert.transformer.layer.1.attention.out_lin.weight,attention,1,768,768,768,460.2102,0.5992,21.0167,0.0274,86.3801,0.1125,4.559242,0.994513,206,0.2682,290,0.3776,461,0.6003,0.927345,0.878449,0.809283,0.71478,0.59038
distilbert.transformer.layer.1.ffn.lin1.weight,ffn,1,3072,768,768,625.5892,0.8146,19.8323,0.0258,130.5974,0.17,10.074268,2.26218,382,0.4974,504,0.6562,679,0.8841,0.942751,0.91038,0.861096,0.79392,0.706883
distilbert.transformer.layer.1.ffn.lin2.weight,ffn,1,768,3072,768,615.9385,0.802,22.8703,0.0298,104.2015,0.1357,9.203246,1.924443,370,0.4818,499,0.6497,682,0.888,0.926901,0.883068,0.831649,0.762594,0.672887
distilbert.transformer.layer.2.attention.q_lin.weight,attention,2,768,768,768,452.7798,0.5896,24.3065,0.0316,89.1951,0.1161,5.079155,1.030221,198,0.2578,282,0.3672,455,0.5924,0.932846,0.886021,0.811273,0.708264,0.578415
distilbert.transformer.layer.2.attention.k_lin.weight,attention,2,768,768,768,465.1896,0.6057,22.7763,0.0297,95.4265,0.1243,5.088402,1.066203,211,0.2747,296,0.3854,466,0.6068,0.936304,0.891285,0.820875,0.724743,0.599912
distilbert.transformer.layer.2.attention.v_lin.weight,attention,2,768,768,768,466.3848,0.6073,29.6876,0.0387,101.2702,0.1319,4.468901,0.820187,211,0.2747,297,0.3867,468,0.6094,0.939523,0.895023,0.827497,0.731171,0.60259
distilbert.transformer.layer.2.attention.out_lin.weight,attention,2,768,768,768,465.7629,0.6065,28.1901,0.0367,99.5798,0.1297,4.486644,0.845032,212,0.276,296,0.3854,467,0.6081,0.938278,0.893998,0.825402,0.729283,0.602357
distilbert.transformer.layer.2.ffn.lin1.weight,ffn,2,3072,768,768,618.9688,0.8059,16.9713,0.0221,108.9115,0.1418,9.978103,2.42209,373,0.4857,498,0.6484,678,0.8828,0.933962,0.896159,0.846804,0.777623,0.687719
distilbert.transformer.layer.2.ffn.lin2.weight,ffn,2,768,3072,768,596.2524,0.7764,14.6272,0.019,77.9247,0.1015,9.003581,2.354152,336,0.4375,470,0.612,670,0.8724,0.913543,0.867274,0.809461,0.731653,0.637813
distilbert.transformer.layer.3.attention.q_lin.weight,attention,3,768,768,768,439.5699,0.5724,18.8271,0.0245,70.1606,0.0914,4.967552,1.144854,183,0.2383,267,0.3477,444,0.5781,0.91503,0.856911,0.780042,0.679269,0.550003
distilbert.transformer.layer.3.attention.k_lin.weight,attention,3,768,768,768,459.8527,0.5988,22.777,0.0297,88.3171,0.115,4.940041,1.035099,205,0.2669,290,0.3776,463,0.6029,0.931603,0.883178,0.808984,0.709752,0.585079
distilbert.transformer.layer.3.attention.v_lin.weight,attention,3,768,768,768,463.3594,0.6033,23.4024,0.0305,87.0306,0.1133,4.38021,0.905451,207,0.2695,294,0.3828,468,0.6094,0.928592,0.877813,0.807999,0.711168,0.58478
distilbert.transformer.layer.3.attention.out_lin.weight,attention,3,768,768,768,443.2779,0.5772,21.4319,0.0279,70.298,0.0915,4.389851,0.948243,186,0.2422,271,0.3529,449,0.5846,0.917179,0.858224,0.774944,0.670894,0.5479
distilbert.transformer.layer.3.ffn.lin1.weight,ffn,3,3072,768,768,607.6843,0.7913,12.1894,0.0159,75.3549,0.0981,9.978173,2.857979,356,0.4635,486,0.6328,675,0.8789,0.915992,0.87373,0.817469,0.743707,0.654706
