layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
distilbert.transformer.layer.0.attention.q_lin.weight,attention,0,768,768,768,444.8993,0.5793,23.5676,0.0307,81.8482,0.1066,2.67543,0.551107,192,0.25,273,0.3555,443,0.5768,0.923483,0.872575,0.801514,0.703808,0.575929
distilbert.transformer.layer.0.attention.k_lin.weight,attention,0,768,768,768,465.7491,0.6064,20.0313,0.0261,88.8652,0.1157,2.637191,0.589232,212,0.276,296,0.3854,465,0.6055,0.924464,0.882967,0.81989,0.728419,0.604379
distilbert.transformer.layer.0.attention.v_lin.weight,attention,0,768,768,768,463.386,0.6034,17.3236,0.0226,85.5309,0.1114,2.599767,0.624619,208,0.2708,292,0.3802,463,0.6029,0.924574,0.881068,0.81843,0.727024,0.601649
distilbert.transformer.layer.0.attention.out_lin.weight,attention,0,768,768,768,475.4153,0.619,32.1622,0.0419,111.6035,0.1453,2.586542,0.456086,223,0.2904,307,0.3997,474,0.6172,0.943434,0.901359,0.840901,0.749432,0.625274
distilbert.transformer.layer.0.ffn.lin1.weight,ffn,0,3072,768,768,628.5327,0.8184,15.0601,0.0196,123.1463,0.1603,5.325368,1.372257,380,0.4948,495,0.6445,670,0.8724,0.94309,0.920569,0.882932,0.825767,0.739161
distilbert.transformer.layer.0.ffn.lin2.weight,ffn,0,768,3072,768,631.7456,0.8226,24.0914,0.0314,160.7448,0.2093,5.003412,1.019377,388,0.5052,508,0.6615,682,0.888,0.95122,0.92442,0.882483,0.819021,0.728817
distilbert.transformer.layer.1.attention.q_lin.weight,attention,1,768,768,768,445.9189,0.5806,26.2216,0.0341,94.8625,0.1235,2.648566,0.517227,197,0.2565,275,0.3581,440,0.5729,0.934288,0.890614,0.821567,0.722843,0.591258
distilbert.transformer.layer.1.attention.k_lin.weight,attention,1,768,768,768,454.3104,0.5915,22.2127,0.0289,91.0148,0.1185,2.654881,0.563306,203,0.2643,285,0.3711,451,0.5872,0.92916,0.886529,0.819162,0.721656,0.593716
distilbert.transformer.layer.1.attention.v_lin.weight,attention,1,768,768,768,470.6446,0.6128,31.1949,0.0406,116.5106,0.1517,2.534681,0.453818,219,0.2852,301,0.3919,466,0.6068,0.946683,0.906904,0.848222,0.756393,0.629245
distilbert.transformer.layer.1.attention.out_lin.weight,attention,1,768,768,768,474.5871,0.618,36.3342,0.0473,124.5109,0.1621,2.519114,0.417917,223,0.2904,305,0.3971,471,0.6133,0.953209,0.914245,0.854598,0.762716,0.634358
distilbert.transformer.layer.1.ffn.lin1.weight,ffn,1,3072,768,768,613.7734,0.7992,17.7925,0.0232,127.4313,0.1659,5.343708,1.266847,357,0.4648,475,0.6185,662,0.862,0.941824,0.912288,0.870744,0.807432,0.715121
distilbert.transformer.layer.1.ffn.lin2.weight,ffn,1,768,3072,768,619.1707,0.8062,22.9371,0.0299,138.8501,0.1808,4.982277,1.0403,368,0.4792,492,0.6406,676,0.8802,0.94391,0.914763,0.869139,0.80091,0.706885
distilbert.transformer.layer.2.attention.q_lin.weight,attention,2,768,768,768,444.2377,0.5784,20.3555,0.0265,83.6438,0.1089,2.779542,0.616074,192,0.25,273,0.3555,443,0.5768,0.92671,0.878992,0.806076,0.706658,0.576566
distilbert.transformer.layer.2.attention.k_lin.weight,attention,2,768,768,768,453.1416,0.59,20.1556,0.0262,88.0667,0.1147,2.782169,0.619706,200,0.2604,282,0.3672,452,0.5885,0.931183,0.885681,0.813964,0.712871,0.586064
distilbert.transformer.layer.2.attention.v_lin.weight,attention,2,768,768,768,472.075,0.6147,30.7087,0.04,113.3673,0.1476,2.540988,0.458534,219,0.2852,302,0.3932,470,0.612,0.946501,0.905416,0.84277,0.74941,0.622516
distilbert.transformer.layer.2.attention.out_lin.weight,attention,2,768,768,768,470.6507,0.6128,35.752,0.0466,115.8484,0.1508,2.612004,0.436841,218,0.2839,301,0.3919,468,0.6094,0.947685,0.907812,0.845868,0.751746,0.622514
distilbert.transformer.layer.2.ffn.lin1.weight,ffn,2,3072,768,768,611.8824,0.7967,16.4223,0.0214,118.3843,0.1541,5.477747,1.351713,355,0.4622,475,0.6185,663,0.8633,0.940477,0.911128,0.865787,0.798506,0.704708
distilbert.transformer.layer.2.ffn.lin2.weight,ffn,2,768,3072,768,594.1202,0.7736,20.1377,0.0262,101.5902,0.1323,4.897895,1.091451,328,0.4271,456,0.5938,659,0.8581,0.928309,0.892919,0.838758,0.76114,0.660765
distilbert.transformer.layer.3.attention.q_lin.weight,attention,3,768,768,768,438.8355,0.5714,17.7414,0.0231,75.7365,0.0986,2.863712,0.679885,184,0.2396,266,0.3464,439,0.5716,0.921393,0.871126,0.79495,0.690508,0.558914
distilbert.transformer.layer.3.attention.k_lin.weight,attention,3,768,768,768,449.333,0.5851,23.6846,0.0308,87.6083,0.1141,2.857582,0.587172,195,0.2539,278,0.362,449,0.5846,0.930221,0.88299,0.81192,0.710131,0.578909
distilbert.transformer.layer.3.attention.v_lin.weight,attention,3,768,768,768,465.188,0.6057,28.869,0.0376,106.4264,0.1386,2.659833,0.495038,211,0.2747,294,0.3828,464,0.6042,0.941835,0.90114,0.836567,0.74079,0.610162
distilbert.transformer.layer.3.attention.out_lin.weight,attention,3,768,768,768,444.3938,0.5786,27.2683,0.0355,94.3001,0.1228,2.703806,0.517782,190,0.2474,271,0.3529,443,0.5768,0.937496,0.893522,0.821683,0.715916,0.577865
distilbert.transformer.layer.3.ffn.lin1.weight,ffn,3,3072,768,768,591.2897,0.7699,16.7743,0.0218,103.4755,0.1347,5.620006,1.372191,324,0.4219,447,0.582,649,0.8451,0.933719,0.896326,0.841865,0.766225,0.667605
distilbert.transformer.layer.3.ffn.lin2.weight,ffn,3,768,3072,768,543.5574,0.7078,12.6801,0.0165,59.1577,0.077,4.840758,1.359414,250,0.3255,381,0.4961,619,0.806,0.897527,0.854677,0.787189,0.692285,0.5786
distilbert.transformer.layer.4.attention.q_lin.weight,attention,4,768,768,768,397.3989,0.5174,7.1155,0.0093,29.6761,0.0386,3.027012,1.134779,138,0.1797,218,0.2839,399,0.5195,0.847235,0.780815,0.693868,0.58571,0.464946
distilbert.transformer.layer.4.attention.k_lin.weight,attention,4,768,768,768,404.3891,0.5265,10.4035,0.0135,42.6056,0.0555,2.933268,0.909416,150,0.1953,228,0.2969,403,0.5247,0.873979,0.814331,0.728386,0.620916,0.492859
distilbert.transformer.layer.4.attention.v_lin.weight,attention,4,768,768,768,419.3698,0.5461,24.6747,0.0321,84.3436,0.1098,2.593876,0.522184,166,0.2161,242,0.3151,415,0.5404,0.931508,0.883739,0.808104,0.697027,0.549674
distilbert.transformer.layer.4.attention.out_lin.weight,attention,4,768,768,768,385.5746,0.5021,20.5917,0.0268,71.6227,0.0933,2.676536,0.589831,137,0.1784,206,0.2682,377,0.4909,0.92476,0.871485,0.786187,0.660026,0.500237
distilbert.transformer.layer.4.ffn.lin1.weight,ffn,4,3072,768,768,466.8881,0.6079,14.8364,0.0193,57.2698,0.0746,6.26447,1.626374,158,0.2057,264,0.3438,530,0.6901,0.905471,0.843377,0.751984,0.627828,0.489534
distilbert.transformer.layer.4.ffn.lin2.weight,ffn,4,768,3072,768,479.1311,0.6239,9.7924,0.0128,53.0848,0.0691,5.465363,1.74652,171,0.2227,274,0.3568,536,0.6979,0.905985,0.861717,0.790026,0.679159,0.536318
