layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
distilbert.transformer.layer.0.attention.q_lin.weight,attention,0,768,768,768,415.0633,0.5404,11.7683,0.0153,52.268,0.0681,2.719708,0.792803,160,0.2083,238,0.3099,415,0.5404,0.893129,0.835166,0.753612,0.644662,0.514873
distilbert.transformer.layer.0.attention.k_lin.weight,attention,0,768,768,768,459.0845,0.5978,11.688,0.0152,57.3355,0.0747,2.735901,0.800258,203,0.2643,288,0.375,459,0.5977,0.89255,0.849582,0.786672,0.697839,0.580862
distilbert.transformer.layer.0.attention.v_lin.weight,attention,0,768,768,768,445.5071,0.5801,13.0822,0.017,59.254,0.0772,2.539001,0.701976,188,0.2448,272,0.3542,448,0.5833,0.898415,0.844078,0.769345,0.677495,0.557036
distilbert.transformer.layer.0.attention.out_lin.weight,attention,0,768,768,768,432.6636,0.5634,14.1805,0.0185,47.587,0.062,2.441819,0.648438,176,0.2292,259,0.3372,436,0.5677,0.876946,0.805815,0.732678,0.640142,0.526306
distilbert.transformer.layer.0.ffn.lin1.weight,ffn,0,3072,768,768,607.152,0.7906,11.7929,0.0154,84.3665,0.1099,5.05522,1.472075,346,0.4505,467,0.6081,658,0.8568,0.924887,0.89513,0.851385,0.787914,0.696948
distilbert.transformer.layer.0.ffn.lin2.weight,ffn,0,768,3072,768,590.1582,0.7684,12.964,0.0169,59.0918,0.0769,4.648481,1.291046,324,0.4219,455,0.5924,660,0.8594,0.885359,0.836247,0.780126,0.713413,0.628806
distilbert.transformer.layer.1.attention.q_lin.weight,attention,1,768,768,768,408.0537,0.5313,12.6212,0.0164,47.8019,0.0622,2.543268,0.715883,153,0.1992,230,0.2995,407,0.5299,0.879135,0.823305,0.739097,0.632891,0.502507
distilbert.transformer.layer.1.attention.k_lin.weight,attention,1,768,768,768,439.9077,0.5728,14.0819,0.0183,56.483,0.0735,2.545684,0.678382,185,0.2409,268,0.349,441,0.5742,0.891074,0.83799,0.764302,0.667262,0.546857
distilbert.transformer.layer.1.attention.v_lin.weight,attention,1,768,768,768,448.2168,0.5836,16.9084,0.022,75.7905,0.0987,2.303107,0.560097,193,0.2513,276,0.3594,448,0.5833,0.917856,0.870326,0.799743,0.701963,0.575205
distilbert.transformer.layer.1.attention.out_lin.weight,attention,1,768,768,768,431.4518,0.5618,18.3901,0.0239,63.5278,0.0827,2.261886,0.527447,176,0.2292,258,0.3359,433,0.5638,0.906562,0.84387,0.764904,0.664237,0.539889
distilbert.transformer.layer.1.ffn.lin1.weight,ffn,1,3072,768,768,587.2452,0.7646,11.8263,0.0154,76.002,0.099,4.965788,1.443989,316,0.4115,439,0.5716,646,0.8411,0.91695,0.880072,0.827708,0.757241,0.661006
distilbert.transformer.layer.1.ffn.lin2.weight,ffn,1,768,3072,768,574.676,0.7483,11.5326,0.015,52.2057,0.068,4.503326,1.326081,300,0.3906,434,0.5651,649,0.8451,0.88302,0.82654,0.761755,0.687546,0.599872
distilbert.transformer.layer.2.attention.q_lin.weight,attention,2,768,768,768,409.9023,0.5337,10.2539,0.0134,43.5453,0.0567,2.502361,0.781458,154,0.2005,232,0.3021,410,0.5339,0.876061,0.819401,0.740927,0.634723,0.504198
distilbert.transformer.layer.2.attention.k_lin.weight,attention,2,768,768,768,437.0092,0.569,14.3166,0.0186,58.8253,0.0766,2.535041,0.669984,180,0.2344,263,0.3424,439,0.5716,0.897291,0.844935,0.772392,0.671919,0.545144
distilbert.transformer.layer.2.attention.v_lin.weight,attention,2,768,768,768,435.3119,0.5668,16.8212,0.0219,65.1092,0.0848,2.277969,0.555417,178,0.2318,261,0.3398,438,0.5703,0.906492,0.851328,0.77473,0.672842,0.544061
distilbert.transformer.layer.2.attention.out_lin.weight,attention,2,768,768,768,424.3109,0.5525,15.7851,0.0206,55.9942,0.0729,2.31038,0.581514,167,0.2174,250,0.3255,429,0.5586,0.901839,0.833929,0.739793,0.636218,0.514413
distilbert.transformer.layer.2.ffn.lin1.weight,ffn,2,3072,768,768,587.0722,0.7644,10.7313,0.014,64.1735,0.0836,4.930865,1.505211,317,0.4128,443,0.5768,649,0.8451,0.906042,0.864743,0.80923,0.739812,0.647169
distilbert.transformer.layer.2.ffn.lin2.weight,ffn,2,768,3072,768,541.2625,0.7048,8.69,0.0113,34.9135,0.0455,4.409621,1.495861,248,0.3229,385,0.5013,625,0.8138,0.857221,0.789249,0.704381,0.622761,0.534518
distilbert.transformer.layer.3.attention.q_lin.weight,attention,3,768,768,768,397.313,0.5173,11.221,0.0146,41.067,0.0535,2.434404,0.726738,140,0.1823,217,0.2826,398,0.5182,0.86877,0.808363,0.724745,0.612893,0.480544
distilbert.transformer.layer.3.attention.k_lin.weight,attention,3,768,768,768,418.1786,0.5445,10.443,0.0136,42.2095,0.055,2.445279,0.756688,160,0.2083,242,0.3151,421,0.5482,0.871337,0.816444,0.735789,0.629678,0.505127
distilbert.transformer.layer.3.attention.v_lin.weight,attention,3,768,768,768,423.9044,0.552,11.1929,0.0146,43.5857,0.0568,2.311703,0.690972,164,0.2135,247,0.3216,428,0.5573,0.872699,0.806785,0.726289,0.628998,0.510235
distilbert.transformer.layer.3.attention.out_lin.weight,attention,3,768,768,768,396.795,0.5167,9.298,0.0121,34.9924,0.0456,2.2876,0.750216,139,0.181,217,0.2826,399,0.5195,0.857296,0.777964,0.685656,0.582721,0.465512
distilbert.transformer.layer.3.ffn.lin1.weight,ffn,3,3072,768,768,567.291,0.7387,8.8631,0.0115,44.453,0.0579,4.942801,1.660278,287,0.3737,415,0.5404,635,0.8268,0.8751,0.826612,0.764522,0.694098,0.602864
distilbert.transformer.layer.3.ffn.lin2.weight,ffn,3,768,3072,768,509.7311,0.6637,7.0291,0.0092,23.4672,0.0306,4.258429,1.606197,197,0.2565,332,0.4323,594,0.7734,0.815789,0.740942,0.65924,0.572128,0.483051
distilbert.transformer.layer.4.attention.q_lin.weight,attention,4,768,768,768,382.0126,0.4974,6.5887,0.0086,23.4499,0.0305,2.534149,0.987261,123,0.1602,199,0.2591,383,0.4987,0.813556,0.742186,0.650084,0.548201,0.434372
distilbert.transformer.layer.4.attention.k_lin.weight,attention,4,768,768,768,391.7056,0.51,6.922,0.009,27.0173,0.0352,2.507603,0.953109,133,0.1732,211,0.2747,394,0.513,0.838264,0.757529,0.668633,0.563849,0.450776
distilbert.transformer.layer.4.attention.v_lin.weight,attention,4,768,768,768,375.3949,0.4888,13.4781,0.0175,35.9843,0.0469,2.17677,0.592923,119,0.1549,194,0.2526,377,0.4909,0.862071,0.76864,0.659351,0.548487,0.429989
distilbert.transformer.layer.4.attention.out_lin.weight,attention,4,768,768,768,355.2946,0.4626,10.6852,0.0139,25.2057,0.0328,2.213544,0.677169,101,0.1315,171,0.2227,353,0.4596,0.816266,0.699561,0.603596,0.50146,0.392004
